,SettlementPoint,Mean,Min,Max,SD,Year,Month
46,HB_BUSAVG,30.268185483870955,6.64,117.74,10.12306655686283,2018,12
47,HB_BUSAVG,18.715080645161272,3.74,59.84,6.744975917531296,2019,12
48,HB_HOUSTON,19.565725806451617,5.19,54.55,5.6487473817289935,2016,01
49,HB_HOUSTON,24.78185483870971,3.03,96.21,7.904352417097664,2017,01
50,HB_HOUSTON,37.944784946236524,6.19,1637.34,86.01527890478582,2018,01
51,HB_HOUSTON,25.426034946236562,8.64,74.76,7.830863602989711,2019,01
52,HB_HOUSTON,15.464540229885062,2.1,50.75,5.811656068895286,2016,02
53,HB_HOUSTON,23.265714285714306,4.52,58.68,8.612319604347366,2017,02
54,HB_HOUSTON,22.16410714285716,5.1,72.11,7.347411911330587,2018,02
55,HB_HOUSTON,21.50781249999998,5.47,57.38,6.6968686862040805,2019,02
56,HB_HOUSTON,17.12495289367428,1.36,72.32,7.70473596551608,2016,03
57,HB_HOUSTON,28.21329744279944,6.85,144.16,14.123950526156515,2017,03
58,HB_HOUSTON,23.782543741588132,8.01,71.01,8.96803408972139,2018,03
59,HB_HOUSTON,27.832032301480492,8.18,651.0,32.6440667231485,2019,03
60,HB_HOUSTON,18.940958333333334,1.26,99.0,10.265435546159962,2016,04
61,HB_HOUSTON,32.295736111111104,10.77,142.25,15.704205969482652,2017,04
62,HB_HOUSTON,24.652694444444446,8.4,58.92,7.830764138938863,2018,04
63,HB_HOUSTON,23.870652777777796,5.4,106.31,11.99962983858817,2019,04
64,HB_HOUSTON,19.17408602150539,3.04,73.62,9.38017837807119,2016,05
65,HB_HOUSTON,31.533172043010744,5.0,105.17,14.64211012278916,2017,05
66,HB_HOUSTON,34.14755376344084,8.43,530.4,37.10995493457376,2018,05
67,HB_HOUSTON,24.794274193548365,9.59,67.67,8.953671879096621,2019,05
68,HB_HOUSTON,26.255736111111084,4.31,141.0,15.3243472685475,2016,06
69,HB_HOUSTON,33.16834722222224,15.44,133.78,18.60204923631417,2017,06
70,HB_HOUSTON,30.628486111111098,15.81,116.02,14.938345448626661,2018,06
71,HB_HOUSTON,26.897680555555574,9.93,111.16,15.453808881248248,2019,06
72,HB_HOUSTON,29.53892473118277,10.08,101.38,14.978876680896809,2016,07
73,HB_HOUSTON,34.37583333333333,16.72,306.24,22.793164369378225,2017,07
74,HB_HOUSTON,79.03404569892474,9.95,2057.51,233.00015888349546,2018,07
75,HB_HOUSTON,29.91100806451612,11.34,274.33,26.800292086352286,2019,07
76,HB_HOUSTON,32.9725403225807,13.49,269.69,33.121781875193165,2016,08
77,HB_HOUSTON,29.401720430107513,16.61,97.06,13.225864551440145,2017,08
78,HB_HOUSTON,31.944247311827972,13.44,150.2,18.6641251009878,2018,08
79,HB_HOUSTON,126.62533602150543,10.32,3499.86,401.4410640782598,2019,08
80,HB_HOUSTON,28.742416666666674,11.49,211.23,16.821039643259603,2016,09
81,HB_HOUSTON,26.542944444444462,8.32,73.92,10.91963358890597,2017,09
82,HB_HOUSTON,27.581361111111068,15.06,91.04,10.751295245972893,2018,09
83,HB_HOUSTON,80.5876527777777,7.97,5011.16,380.543067820698,2019,09
84,HB_HOUSTON,28.24955645161289,4.0,284.79,18.950819928980856,2016,10
85,HB_HOUSTON,30.141236559139788,4.4,249.2,23.325715626861335,2017,10
86,HB_HOUSTON,30.981935483870988,12.6,98.4,10.837428527252913,2018,10
87,HB_HOUSTON,30.393602150537653,9.65,870.3,55.0885931424054,2019,10
88,HB_HOUSTON,20.36593055555555,3.05,51.61,7.431234496542127,2016,11
89,HB_HOUSTON,26.091055555555556,4.69,131.0,12.686734104963296,2017,11
90,HB_HOUSTON,31.319236111111124,10.01,104.77,11.698294258876448,2018,11
91,HB_HOUSTON,24.0215,3.79,198.8,14.300458495621012,2019,11
92,HB_HOUSTON,25.727661290322622,2.92,142.55,11.32320461530008,2016,12
93,HB_HOUSTON,21.549005376344063,6.25,53.34,5.162866307722012,2017,12
94,HB_HOUSTON,30.333548387096755,6.85,116.17,9.879054520195677,2018,12
95,HB_HOUSTON,18.67249999999999,3.8,59.43,6.6220555812474515,2019,12
96,HB_HUBAVG,19.25869623655914,5.13,54.53,5.5123168382360115,2016,01
97,HB_HUBAVG,23.325551075268802,1.84,96.27,7.577709890137224,2017,01
98,HB_HUBAVG,37.77303763440862,5.24,1658.38,87.50519670270873,2018,01
99,HB_HUBAVG,24.68340053763441,5.59,75.44,8.21035899011041,2019,01
100,HB_HUBAVG,15.269252873563223,1.52,50.9,5.812592533369642,2016,02
101,HB_HUBAVG,20.352127976190452,2.34,53.19,7.066815784413845,2017,02
102,HB_HUBAVG,21.83005952380953,4.2,73.4,7.607576739110757,2018,02
103,HB_HUBAVG,21.250639880952367,4.85,56.86,7.0730121645770625,2019,02
104,HB_HUBAVG,16.654347240915186,1.05,65.81,7.426260850084184,2016,03
105,HB_HUBAVG,23.233230148048435,4.36,87.72,8.870794538909273,2017,03
106,HB_HUBAVG,22.40343203230148,6.13,69.98,8.604464627194634,2018,03
107,HB_HUBAVG,27.189030955585476,5.95,674.86,34.35972336363792,2019,03
108,HB_HUBAVG,18.16686111111111,1.07,94.38,9.574284135033096,2016,04
109,HB_HUBAVG,24.830486111111128,8.6,91.68,8.938620642163299,2017,04
110,HB_HUBAVG,22.450305555555552,4.42,53.51,7.838026572185339,2018,04
111,HB_HUBAVG,22.221166666666647,4.4,103.18,12.112938760854048,2019,04
112,HB_HUBAVG,18.247002688172035,2.64,73.06,8.214961649765993,2016,05
113,HB_HUBAVG,25.905026881720417,4.18,65.97,8.793912445332902,2017,05
114,HB_HUBAVG,32.83485215053763,7.13,536.14,37.757652134754366,2018,05
115,HB_HUBAVG,23.88376344086022,9.03,67.33,8.577879707268158,2019,05
116,HB_HUBAVG,24.297847222222227,4.15,115.88,11.861734726158794,2016,06
117,HB_HUBAVG,28.513847222222214,14.64,88.26,12.215149025157547,2017,06
118,HB_HUBAVG,29.781861111111088,14.66,113.13,14.418706406790347,2018,06
119,HB_HUBAVG,25.17154166666668,8.6,102.85,13.788867563759192,2019,06
120,HB_HUBAVG,27.459206989247352,5.86,99.3,12.793737081962158,2016,07
121,HB_HUBAVG,31.864408602150526,16.7,263.26,18.501171755106707,2017,07
122,HB_HUBAVG,78.83232526881713,9.95,2061.56,233.32551272329218,2018,07
123,HB_HUBAVG,29.69623655913976,11.28,274.53,26.839811239624783,2019,07
124,HB_HUBAVG,30.948534946236535,13.39,232.88,28.067207749952498,2016,08
125,HB_HUBAVG,27.83861559139788,16.62,90.23,11.25476501294963,2017,08
126,HB_HUBAVG,31.69458333333332,12.87,149.94,18.560145316602355,2018,08
127,HB_HUBAVG,126.34983870967757,9.9,3499.49,401.12725896834405,2019,08
128,HB_HUBAVG,27.188138888888897,10.99,203.88,15.16413774610703,2016,09
129,HB_HUBAVG,24.51969444444443,8.4,61.96,8.268483617032992,2017,09
130,HB_HUBAVG,27.05302777777778,14.75,88.41,10.301125773944907,2018,09
131,HB_HUBAVG,79.4591944444445,7.89,5008.13,380.1739002592013,2019,09
132,HB_HUBAVG,25.769059139784947,2.96,277.51,16.816964578457856,2016,10
133,HB_HUBAVG,24.701451612903266,3.48,109.91,12.05308567698832,2017,10
134,HB_HUBAVG,29.889112903225822,9.98,95.61,10.165972310649039,2018,10
135,HB_HUBAVG,28.131760752688177,6.05,851.39,53.417383946265424,2019,10
136,HB_HUBAVG,19.489305555555553,2.37,49.27,6.544536122879047,2016,11
137,HB_HUBAVG,23.16713888888889,3.68,91.6,8.902537112871347,2017,11
138,HB_HUBAVG,30.277208333333338,8.42,105.98,11.820105869491796,2018,11
139,HB_HUBAVG,23.2572361111111,2.91,201.15,14.540368868864523,2019,11
140,HB_HUBAVG,25.36259408602154,2.34,139.98,11.198097445441174,2016,12
141,HB_HUBAVG,21.209852150537618,4.55,56.06,5.336605259728787,2017,12
142,HB_HUBAVG,30.191989247311827,6.45,117.99,10.318657868630199,2018,12
143,HB_HUBAVG,18.623373655914005,3.49,60.41,6.752492529393898,2019,12
144,HB_NORTH,19.133306451612892,5.09,55.56,5.465482000164042,2016,01
145,HB_NORTH,22.991854838709685,2.02,96.37,7.400329722413332,2017,01
146,HB_NORTH,37.5859005376344,6.24,1659.26,87.45206198148666,2018,01
147,HB_NORTH,24.33263440860215,5.41,75.1,8.213235570821181,2019,01
148,HB_NORTH,15.292658045977005,2.0,51.26,5.741953441774283,2016,02
149,HB_NORTH,19.4481994047619,4.77,51.8,5.934393190161845,2017,02
150,HB_NORTH,21.767023809523774,6.39,73.33,7.452917156357076,2018,02
151,HB_NORTH,20.864955357142883,4.48,56.39,7.018780915655381,2019,02
152,HB_NORTH,16.859367429340523,1.46,60.79,7.259944346713296,2016,03
153,HB_NORTH,21.227779273216694,5.46,63.71,6.777892002262999,2017,03
154,HB_NORTH,22.608008075370122,8.57,69.87,8.217259861945996,2018,03
155,HB_NORTH,28.103714670255727,8.95,676.5,34.15559397316518,2019,03
156,HB_NORTH,18.350666666666676,1.3,90.11,9.314117201804844,2016,04
157,HB_NORTH,21.41055555555557,7.16,61.79,6.244917842248714,2017,04
158,HB_NORTH,23.522916666666667,8.06,52.98,7.0269326382005435,2018,04
159,HB_NORTH,22.99740277777778,5.53,100.8,11.622436364291051,2019,04
160,HB_NORTH,17.905631720430126,3.55,74.68,7.666826119704723,2016,05
161,HB_NORTH,23.41991935483871,5.2,62.98,6.722616735124593,2017,05
162,HB_NORTH,35.3061424731183,9.32,550.83,39.46338334548294,2018,05
163,HB_NORTH,23.97888440860211,9.96,67.3,8.688466045637163,2019,05
164,HB_NORTH,23.15805555555555,3.64,101.0,10.378440279708135,2016,06
165,HB_NORTH,25.890569444444427,15.33,70.82,9.048123147849383,2017,06
166,HB_NORTH,30.21188888888888,15.35,115.08,15.084811187253623,2018,06
167,HB_NORTH,25.175819444444464,8.17,101.27,13.602406822767918,2019,06
168,HB_NORTH,26.8007930107527,9.02,98.94,11.667287327521286,2016,07
169,HB_NORTH,30.65431451612902,16.47,244.42,16.651010261624062,2017,07
170,HB_NORTH,78.96845430107523,9.79,2063.87,233.55245524774722,2018,07
171,HB_NORTH,29.781290322580663,11.22,274.65,26.916675138030318,2019,07
172,HB_NORTH,29.82838709677418,13.37,223.94,25.427223868923868,2016,08
173,HB_NORTH,26.832728494623666,16.61,85.93,10.255855876488063,2017,08
174,HB_NORTH,31.603051075268784,12.0,150.0,18.64059523762587,2018,08
175,HB_NORTH,126.52185483870967,10.0,3500.92,401.5181039277682,2019,08
176,HB_NORTH,26.249180555555544,10.7,200.0,14.525627155172383,2016,09
177,HB_NORTH,23.346111111111103,8.29,54.32,7.2612509134234475,2017,09
178,HB_NORTH,27.299638888888918,14.02,89.78,10.928677673760703,2018,09
179,HB_NORTH,79.91958333333324,7.81,5010.22,380.5384254197815,2019,09
180,HB_NORTH,24.005255376344078,2.71,269.05,15.390332528302768,2016,10
181,HB_NORTH,21.405900537634427,1.88,75.0,7.791168430578762,2017,10
182,HB_NORTH,30.03416666666664,9.57,95.0,10.334967046572814,2018,10
183,HB_NORTH,27.995967741935484,6.11,853.71,53.323601612869396,2019,10
184,HB_NORTH,18.66488888888888,1.92,47.62,6.101731530063151,2016,11
185,HB_NORTH,21.59620833333333,3.19,69.49,7.568659608784363,2017,11
186,HB_NORTH,31.234888888888918,9.38,114.35,11.596295053094748,2018,11
187,HB_NORTH,23.628611111111105,3.49,212.85,15.12134180687971,2019,11
188,HB_NORTH,25.149045698924702,3.17,138.12,10.941741566558264,2016,12
189,HB_NORTH,20.952997311827954,6.18,53.18,4.987721615378066,2017,12
190,HB_NORTH,30.39826612903227,6.96,117.3,9.919452147482726,2018,12
191,HB_NORTH,18.7319892473118,4.01,59.75,6.806604034839857,2019,12
